user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
isindianpolitic,India,Twitter for Android,,2022-08-17 08:10:14,True,1189,"Which movie you are Going To watch on January
1. #Adipurush  - Based on Ramayana on 12.01.23
2. #PathaanMovie -  25… https://t.co/bkw9dRl2CW",11,False
isindianpolitic,India,Twitter for Android,,2022-08-17 08:09:31,True,1189,"Boycott Bollywood...!!!🙏👍

#BoycottBrahmastra
#BoycottVikramVedha
#BoycottPathanMovie
#BoycottBollywood… https://t.co/zswPQiw0Xf",7,False
Rajendrap1078,Bharatvarsh 🇮🇳🙏🇮🇳,Twitter for Android,,2022-08-17 08:09:31,True,4381,"@filmfare #KareenaKapoorKhan @sonamakapoor @RanveerOfficial you are not alone... 🙄 🙏
BC... Gutterwood, need to clea… https://t.co/bpiDtMvLm2",0,False
isindianpolitic,India,Twitter for Android,,2022-08-17 08:09:11,True,1189,"#BoycottVikramVedha
Boycott CopyWood Forever

#BoycottPathanMovie 
#BoycottBrahmastra
#BoycottLalSinghChaddha
Justi… https://t.co/ilAbKbC5Jh",5,False
isindianpolitic,India,Twitter for Android,,2022-08-17 08:08:29,True,1189,"Dear Indians 🇮🇳🕉️
Wake Up smell the coffee #Hindus
LSC 🇵🇰is a scam of divide Sanatani 🕉️(Hindus &amp; Sikhs)… https://t.co/X57xHBHyAH",5,False
veeresh_jantli,"Bengaluru, India",Twitter Web App,,2022-08-17 08:08:18,False,95,"Explain a little how to compress.  Boycott is the chosen way of indoctrinating the anti-Hindu, drug addict, arrogan… https://t.co/2qoEEd0EJ5",1,False
Biddu_1979,Bharat,Twitter for Android,,2022-08-17 08:08:06,False,98,"Kuch to real karo @iamsrk ?
#BoycottbollywoodForever https://t.co/qtnVy6nu7D",1,False
Rajendrap1078,Bharatvarsh 🇮🇳🙏🇮🇳,Twitter for Android,,2022-08-17 08:07:57,True,4381,"#KareenaKapoorKhan @sonamakapoor @RanveerOfficial you are not alone... 🙄 🙏
BC... Gutterwood, need to clean the soci… https://t.co/Kilj1zcgZP",0,False
Bebak_Vichar,India,Twitter for Android,,2022-08-17 08:07:53,True,594,@karanjohar #Brahmastra is full copy of so many superhero movies. Like #Mouniroy is like #WandaMaximoff . It is a 6… https://t.co/qIuunr0A6E,0,False
sameerbhatnagar,Some where on this earth,Twitter for Android,,2022-08-17 08:06:59,False,433,"@AMIT_GUJJU These अनपढ़ नचनिये are threating public now. 

#BoycottbollywoodForever 
#BoycottVikramVedha… https://t.co/5reB61UFb7",0,False
SanjayPatidarIn,"Indore, India",Twitter for Android,,2022-08-17 08:06:52,True,1583,"@OpIndia_in @arjunk26 let's Try!! What you can do ??

We the people of India #BoycottbollywoodForever !!",0,False
Binapanchal2501,"Ahmadabad City, India",Twitter for Android,,2022-08-17 08:06:45,True,516,"@Im_NitinJ30 What Stopping CBI InSSRCase 🔥 

#BoycottbollywoodForever",0,False
Santhosh_Anto08,Tuticorin,Twitter for Android,,2022-08-17 08:06:34,True,758,"These shangis 🤣

Read all the tweets inthe hastag if your bored 🤣🤣

Fully mentals 🤣

#BoycottbollywoodForever",0,False
LauduTitter,,Twitter for Android,,2022-08-17 08:06:04,True,52,"Went to see #Karthikeya2 , eventually got interested to see #LSGkeLLB  audience and look what I have.… https://t.co/CvORJeQXId",0,False
SomaDut96461948,At t glass door bet life n SSR,Twitter for Android,,2022-08-17 08:05:42,False,1323,"#BoycottbollywoodForever
#BoycottVikramVedha
#BoycottPathaan
#BoycottTiger3

#JusticeForSushantSinghRajput
SUSHANT… https://t.co/jnXQGEjVcN",3,False
